Card   1:  9 39 27 89 87 29 54 19 43 45 |  9 80 29 20 54 58 78 77 39 35 76 79 19 87 45 89 23 31 94 34 67 43 56 50 27
Card   2: 89 59 76  2 60 83 21 37 92 45 | 79  5 41 92 45 59 72 50 89 37 64 65 60 54 57 22 66 21 25 76  1 39 83  2 33
Card   3: 40 25 13 65 86  5 35 87  9 30 | 87 76 30 93  5 45 16 40 48 89 78 59 18 12 71 85 66 21 80 28 50 60 49 72 27
Card   4: 21 34 70 83 66 44 90 68 76 12 | 46 80 70 73 44 99 32 98 66 68 76 28 85 74 17 38 27 22 83 16 12 90 33 34 21
Card   5:  5 67 90 43 26 31 17 47 14  1 | 83 64 47 24 33  5 90 20 19 61 14 56 67 26  1 70 31  9 17 57 43 95 82 91 49
Card   6:  8  1 42 80 94 21 15 89 60 73 | 53 23 64 63 15 89 29 93 78 80 62 52 21 40 94  4 42 61 22  1 73 97 28 60  8
Card   7: 67 32 20 69 40 22 35 44 86 72 | 84 53 39 52 43 46 41 16 25 77 32  5  7 29 13 31 22 98 58 82  2 85 34 89 79
Card   8: 94 12 71  3  2 93 87 18 83 67 | 89 80 82 62 88 64 24 45 54 84  2  7 43 37 16 49 67 13 95 53 50 42  6 83 68
Card   9: 64 68 80 83 33  1 93 66  8 73 | 51 61 20 32 39  3  8 65 21 56  6 25 86 85 76 95 14 28 62 71 69 12 83  1 22
Card  10: 60 88 52 64 87 34 93 37 56 78 | 16 57 87 20 68 98 93 63 12 96 29 51 14 10 45 52 64 83 85 72 49 82 31 44 35
Card  11: 36 78 85 63 79 86 20  6 24 28 | 55 86 79 32 84 97 22 20 25  6 29 75 41 24 38 78 23 33 63 50 56 11 85 36 28
Card  12: 51 48 95 84 65 40 54 47 35 24 | 41 91 86  2  5 19 54 83 13 98 39 44 47 33 82 48  6 58 87 88 16 29 99 38 40
Card  13:  1  3 96 69 86 76 88 24 58 27 | 19 22 25  3 89 88 71 27 76 85 15 45 96 80 70 24 34 61 83 69 47 86 44  7  1
Card  14: 64 16 68 57 10 25 51 26 36 59 | 78 27 81 61 21 57 94 41 85 68 77  4  9 56 66  2 42 15 25  7 10 93 36 59 34
Card  15: 41 42  5 37 99 19 65 27 44 35 | 99 38  1  9 72 43 84 67  7 44 79  5 29 60 41 98 30 23 27 82 35 97 74 25 90
Card  16:  8 72 53 75 61 67 78 54  1  3 | 32 41 81 86  1 95 50 20 58 92 97 60 26 23 27 67 78 53 83 75  7 66  3 59  8
Card  17: 39 50 34 66 54 19 30 37 33 24 | 34 62 27 89 49 80 67 50 20 46  4 72 74 85 45 69 40 16 73 57 79 76 95 41 56
Card  18: 67 32 84 12 50 44  5 42 69 22 | 67 64 77 83  5 85 50 84 17  7 23 78 97 76 94 39 81 44 96 37 79 61 13  3 49
Card  19: 66 39 62  2 47 63 18 19 85 26 | 60 68  9 18 59 24 47 80 86 87 56 48 54 72 16 51 26 23 95 15 38 91 79 31 27
Card  20: 48  8 91 42 64 81 16 90 82 30 |  9 65 92  3 49 68 67 52 53 47 56 54 22 10 15 86 72 88 46 75 73  6 55 80 37
Card  21: 89 35 21 61 33 44 52 83 51 79 | 64 62 14 54 72 38 80 18 67 65 56 91 94 26 92 96 88 34 81 60 25  9 28 10 55
Card  22: 98 19 57 87 65 12 80 18 48 29 | 70 56 81 95 51 48 76 68 73 21 26 67 92 46 54 58 72 45 75 34 25  8 79 55 86
Card  23: 50 94 84 86 64 67 26 72 46 96 | 11 98 97 74 47 71 88 93  3 89  2 53 57 54 66 85 52 14 31 38 24 81 44 41 68
Card  24: 53 60 37 93 49 98 89 70 72  6 | 83 21 37 94 78  7 44 34 30 58 16 84  8 10 72 48 42 27 79  6 99 67 88 64 25
Card  25: 13 18 29 62 44 92 19 58 63  6 | 97 78 16 56 19 62 18 58 63 29 14 44 40 25 70 90 13 82 98 89 51 24 92 55 83
Card  26: 75  2 35 21 74 27 45 66  3 91 | 11  8 28 74 26 23 93  2 47  3 25  7 35  6 22 27 58 96 21 75 61 15 94 65 45
Card  27: 11 35 97 64 30 50  5 90  2 19 |  7 92 18 68 95 22 86 65 91  1  6 80 66 93 27 77 90 40 45 48 89 38 32 26 78
Card  28: 89 67 61 81 98 64 49 54 70 79 | 78 81 66 70 30 49 79 10 59 67 98 61 99 43  1 77 50 90 64 89 75 85 16 71 54
Card  29:  4 94 51 84 70 21 76 55 35 66 | 68 52 61 75 50 37 71 72 14 78 19 18 93 20 79 60 86  2 59  8 47  1 90 33 30
